METAR,RCNN,030230Z,360,05KT,9000,FEW012 SCT040 BKN060,22,13,Q1025,NOSIG,A3027,,,
METAR,RCNN,030200Z,010,05KT,9000,FEW012 SCT040 BKN060,21,12,Q1025,NOSIG,A3027,,,
METAR,RCNN,030130Z,020,05KT,9000,FEW012 SCT040 BKN060,20,13,Q1025,NOSIG,A3027,,,
METAR,RCNN,030100Z,030,07KT,8000,FEW012 SCT040 BKN080,18,12,Q1025,NOSIG,A3027,,,
METAR,RCNN,030030Z,020,07KT,8000,FEW012 BKN040,17,12,Q1024,NOSIG,A3026,,,
METAR,RCNN,030000Z,020,07KT,7000,FEW012 SCT030 BKN080,16,13,Q1024,NOSIG,A3026,,,
METAR,RCNN,022330Z,020,05KT,7000,FEW012 SCT030 BKN080,16,13,Q1024,NOSIG,A3025,,,
METAR,RCNN,022300Z,020,07KT,7000,FEW012 SCT030 BKN080,15,12,Q1024,NOSIG,A3025,,,
METAR,RCNN,022230Z,020,06KT,6000,FEW010 SCT030 BKN050,15,12,Q1024,BECMG,5000,BR,A3024,
METAR,RCNN,022200Z,030,04KT,6000,FEW010 SCT025 BKN050,15,12,Q1023,BECMG,5000,BR,A3023,
METAR,RCNN,022130Z,020,06KT,6000,FEW010 BKN040 BKN060,15,12,Q1023,BECMG,5000,BR,A3023,
METAR,RCNN,022100Z,030,06KT,6000,FEW010 BKN040 BKN060,15,12,Q1023,BECMG,5000,BR,A3022,
METAR,RCNN,022030Z,020,05KT,6000,FEW010 BKN040 BKN060,15,12,Q1023,A3022,,,,
METAR,RCNN,022000Z,020,06KT,6000,FEW010 BKN040 BKN060,15,12,Q1023,A3022,,,,
METAR,RCNN,021900Z,010,05KT,6000,FEW010 BKN040 BKN060,15,12,Q1023,A3022,,,,
METAR,RCNN,021800Z,020,07KT,6000,FEW010 SCT040 BKN060,15,12,Q1023,A3022,,,,
METAR,RCNN,021700Z,020,09KT,6000,FEW010 SCT040 BKN060,15,12,Q1023,A3022,,,,
METAR,RCNN,021600Z,030,08KT,6000,FEW010 SCT040 BKN060,16,13,Q1023,A3023,,,,
METAR,RCNN,021500Z,020,08KT,7000,FEW010 SCT040 BKN080,16,12,Q1024,A3024,,,,
METAR,RCNN,021400Z,030,10KT,7000,FEW010 SCT040 BKN080,16,12,Q1024,A3024,,,,
METAR,RCNN,021330Z,030,12KT,7000,FEW010 SCT040 BKN080,16,12,Q1024,A3024,,,,
METAR,RCNN,021300Z,030,10KT,7000,FEW010 SCT060 BKN100,16,12,Q1023,A3023,,,,
METAR,RCNN,021230Z,030,10KT,8000,FEW010 SCT060 BKN100,16,12,Q1023,A3023,,,,
METAR,RCNN,021200Z,020,11KT,8000,FEW010 SCT060 BKN100,16,12,Q1023,A3022,,,,
METAR,RCNN,021130Z,020,10KT,8000,FEW010 SCT060 BKN100,17,12,Q1023,A3022,,,,
METAR,RCNN,021100Z,010,10KT,8000,FEW010 SCT060,17,12,Q1022,A3019,,,,
METAR,RCNN,021030Z,020,12KT,8000,FEW012 SCT025 BKN060,18,12,Q1022,NOSIG,A3018,,,
METAR,RCNN,021000Z,020,12KT,8000,FEW012 SCT025 BKN060,18,12,Q1021,NOSIG,A3017,,,
METAR,RCNN,020930Z,010,10KT,9999,FEW012 BKN060,19,13,Q1021,NOSIG,A3016,,,
METAR,RCNN,020900Z,020,11KT,9999,FEW012 BKN060,20,13,Q1021,NOSIG,A3015,,,
METAR,RCNN,020830Z,020,12KT,9999,FEW012 BKN060,21,13,Q1020,NOSIG,A3014,,,
METAR,RCNN,020800Z,010,15KT,9999,FEW012 BKN060,21,14,Q1020,NOSIG,A3014,,,
METAR,RCNN,020730Z,010,14KT,9999,FEW012 BKN060,22,14,Q1020,NOSIG,A3014,,,
METAR,RCNN,020700Z,020,15KT,9999,FEW012 BKN080,22,14,Q1020,NOSIG,A3014,,,
METAR,RCNN,020630Z,020,13G23KT,9999,FEW012 BKN080,23,14,Q1020,NOSIG,A3014,,,
METAR,RCNN,020600Z,010,14KT,9999,FEW012 BKN080,24,15,Q1020,NOSIG,A3014,,,
METAR,RCNN,020530Z,360,13KT,9999,FEW012 BKN080,24,15,Q1021,NOSIG,A3015,,,
METAR,RCNN,020500Z,010,13KT,9999,FEW012 SCT030 BKN080,24,15,Q1021,NOSIG,A3016,,,
METAR,RCNN,020430Z,010,11KT,9999,FEW012 SCT030 BKN080,24,15,Q1021,NOSIG,A3017,,,
METAR,RCNN,020400Z,360,11KT,9999,FEW012 SCT030 BKN080,23,15,Q1022,NOSIG,A3018,,,
METAR,RCNN,020330Z,020,10KT,9999,FEW012 SCT030 BKN080,22,15,Q1022,NOSIG,A3020,,,
METAR,RCNN,020300Z,020,13KT,9999,FEW012 SCT030 BKN080,21,15,Q1023,NOSIG,A3021,RA,AMT,T
METAR,RCNN,020230Z,360,12KT,9999,VCSH,FEW010 SCT025 BKN050,20,15,Q1023,NOSIG,A3022,VCSH,S
