METAR,RCMQ,020300Z,010,16KT,1600,BR,BKN002 OVC010 BKN002,14,14,Q1024,BECMG,TL0400,1200,BR,A3026,,,
METAR,RCMQ,020230Z,020,15KT,1600,BR,BKN002 OVC010 BKN002,14,14,Q1025,BECMG,TL0400,1200,BR,A3027,,,
METAR,RCMQ,020200Z,020,15KT,1600,BR,BKN002 OVC010 BKN002,14,14,Q1025,BECMG,TL0400,1200,BR,A3027,RA,AMT,T
METAR,RCMQ,020130Z,020,15KT,1600,BR,BKN002 OVC010 BKN002,14,14,Q1025,BECMG,TL0400,1200,BR,A3027,,,
METAR,RCMQ,012030Z,020,11KT,7000,-RA,SCT004 BKN008 BKN025,14,14,Q1023,A3021,,,,,,,
METAR,RCMQ,012000Z,020,11KT,7000,-RA,SCT004 BKN008 BKN025,14,14,Q1023,A3022,RA,AMT,0.2MM,,,,
METAR,RCMQ,011900Z,010,12KT,7000,-RA,SCT004 BKN008 BKN025,14,14,Q1023,A3022,RA,AMT,0.6MM,,,,
METAR,RCMQ,011800Z,010,13KT,7000,-RA,SCT004 BKN008 BKN025,14,13,Q1023,A3022,RA,AMT,1.4MM,,,,
METAR,RCMQ,011700Z,010,13KT,7000,-RA,SCT004 BKN008 BKN025,14,13,Q1023,A3023,RA,AMT,1.2MM,,,,
METAR,RCMQ,011600Z,010,14KT,7000,-RA,SCT004 BKN008 BKN025,14,13,Q1023,A3023,RA,AMT,0.2MM,,,,
SPECI,RCMQ,011543Z,010,15KT,5000,-RA,BR,SCT004 BKN008 BKN025,14,13,Q1023,A3023,,,,,,
METAR,RCMQ,011500Z,010,15KT,3200,-RA,BR,SCT004 BKN008 BKN025 SCT004,14,13,Q1023,A3023,RA,AMT,0.2MM,APCH,CLD,
SPECI,RCMQ,011437Z,360,14KT,3200,-RA,BR,SCT004 BKN008 BKN025 SCT004,14,13,Q1024,A3024,APCH,CLD,,,,
METAR,RCMQ,011400Z,020,12KT,6000,-RA,FEW004 BKN008 BKN030,14,14,Q1023,A3022,RA,AMT,0.5MM,,,,
