METAR,RCMQ,130830Z,320,06KT,9999,FEW012,22,15,Q1016,NOSIG,A3001,,,,,,,,
METAR,RCMQ,130800Z,330,07KT,9999,FEW012,24,15,Q1016,NOSIG,A3001,,,,,,,,
METAR,RCMQ,130730Z,320,06KT,9999,FEW012,25,15,Q1016,NOSIG,A3001,,,,,,,,
METAR,RCMQ,130700Z,330,06KT,9999,FEW012,26,14,Q1016,NOSIG,A3001,,,,,,,,
METAR,RCMQ,130630Z,350,05KT,9999,FEW010,26,14,Q1016,NOSIG,A3002,,,,,,,,
METAR,RCMQ,130600Z,330,06KT,9000,FEW010,25,15,Q1017,NOSIG,A3003,,,,,,,,
METAR,RCMQ,130530Z,340,06KT,8000,FEW010,25,16,Q1017,NOSIG,A3004,,,,,,,,
METAR,RCMQ,130500Z,340,07KT,8000,FEW010,23,16,Q1017,NOSIG,A3005,,,,,,,,
METAR,RCMQ,130430Z,330,08KT,8000,FEW006,23,16,Q1018,NOSIG,A3007,,,,,,,,
METAR,RCMQ,130400Z,330,07KT,8000,FEW006,23,16,Q1018,NOSIG,A3008,,,,,,,,
METAR,RCMQ,130330Z,330,08KT,9000,FEW006,55,16,Q1019,NOSIG,A3009,,,,,,,,
METAR,RCMQ,130300Z,330,08KT,9999,FEW010,22,17,Q1019,NOSIG,A3009,,,,,,,,
METAR,RCMQ,130230Z,310,06KT,9999,FEW010,23,17,Q1019,NOSIG,A3010,,,,,,,,
METAR,RCMQ,130200Z,270,02KT,9999,FEW010,24,18,Q1019,NOSIG,A3010,,,,,,,,
METAR,RCMQ,130130Z,180,02KT,9000,FEW010,22,17,Q1019,NOSIG,A3010,,,,,,,,
METAR,RCMQ,130100Z,000,00KT,7000,FEW010,20,17,Q1019,NOSIG,A3010,,,,,,,,
SPECI,RCMQ,130054Z,000,00KT,7000,FEW010,20,17,Q1019,NOSIG,A3010,,,,,,,,
SPECI,RCMQ,130036Z,000,00KT,4800,BR,FEW010,18,17,Q1019,BECMG,5000,BR,A3010,,,,,
METAR,RCMQ,130030Z,130,02KT,3200,BR,FEW002 SCT020,17,16,Q1019,NOSIG,A3010,,,,,,,
SPECI,RCMQ,130020Z,120,01KT,2400,BR,SCT002 BKN020,17,16,Q1019,BECMG,3000,BR,A3010,,,,,
SPECI,RCMQ,130012Z,120,02KT,1200,R36,2000U,BR,SCT002 BKN020 BKN002 SCT002,16,16,Q1019,BECMG,TL0200,0600,FG,A3010,APCH,CLD
SPECI,RCMQ,130006Z,110,04KT,1200,R36,1200U,BR,BKN002 BKN020 BKN002,16,16,Q1019,BECMG,TL0200,0600,FG,A3010,,
METAR,RCMQ,130000Z,110,04KT,0800,R36,1000U,FG,BKN002 BKN008 BKN002,16,15,Q1019,BECMG,TL0200,0600,FG,A3010,,
SPECI,RCMQ,122350Z,090,04KT,0800,R36,0800,FG,BKN002 BKN008 BKN002,16,15,Q1019,BECMG,TL0200,0600,FG,A3009,,
SPECI,RCMQ,122340Z,070,04KT,1600,BR,BKN004 BKN008 BKN002,16,15,Q1019,BECMG,FM0000,TL0200,0600,FG,A3009,,,
METAR,RCMQ,122330Z,040,04KT,2400,1200SW,BR,BKN004 BKN008,15,15,Q1019,NOSIG,A3009,,,,,,
SPECI,RCMQ,122322Z,040,04KT,4000,1600SW,BR,BKN004 BKN008 BKN004,13,13,Q1019,NOSIG,A3009,APCH,CLD,,,,
SPECI,RCMQ,122317Z,030,03KT,5000,BR,SCT004 BKN010 SCT004,13,13,Q1019,NOSIG,A3009,APCH,CLD,,,,,
METAR,RCMQ,122300Z,030,03KT,5000,BR,SCT006 SCT006,13,13,Q1019,NOSIG,A3009,APCH,CLD,,,,,
SPECI,RCMQ,122250Z,340,04KT,5000,BR,SCT006 SCT006,13,13,Q1019,NOSIG,A3009,APCH,CLD,,,,,
METAR,RCMQ,122230Z,330,05KT,6000,FEW012,13,13,Q1018,NOSIG,A3008,,,,,,,,
METAR,RCMQ,122200Z,350,05KT,8000,FEW012,13,12,Q1018,NOSIG,A3007,,,,,,,,
METAR,RCMQ,122130Z,000,00KT,6000,FEW012,14,13,Q1018,NOSIG,A3006,,,,,,,,
METAR,RCMQ,122100Z,140,02KT,6000,FEW012,14,13,Q1018,NOSIG,A3006,,,,,,,,
