METAR,RCKU,261000Z,340,04KT,8000,FEW012 BKN080,20,17,Q1018,,,,,
METAR,RCKU,260930Z,350,06KT,8000,FEW010 SCT030 BKN080,21,17,Q1018,NOSIG,,,,
METAR,RCKU,260900Z,330,06KT,8000,FEW010 SCT030 BKN080,22,17,Q1018,NOSIG,,,,
METAR,RCKU,260830Z,350,08KT,8000,FEW008 SCT025 BKN080,22,17,Q1018,NOSIG,,,,
METAR,RCKU,260800Z,360,07KT,7000,FEW008 SCT020 BKN080,22,17,Q1018,NOSIG,,,,
METAR,RCKU,260730Z,360,08KT,7000,FEW008 SCT020 BKN060,22,17,Q1018,NOSIG,,,,
METAR,RCKU,260700Z,330,07KT,7000,SCT008 BKN016 BKN050,22,17,Q1018,NOSIG,,,,
SPECI,RCKU,260643Z,340,07KT,7000,SCT008 BKN016 BKN050,22,17,Q1018,NOSIG,,,,
METAR,COR,RCKU,260,630Z,32007KT,7000,SCT006 BKN012 BKN040 BKN015,21,17,Q1018,<strong>TEMPO<,strong>,,
METAR,RCKU,260600Z,320,07KT,7000,SCT006 BKN012 BKN040,21,17,Q1018,NOSIG,,,,
METAR,RCKU,260530Z,320,06KT,7000,SCT006 BKN012 BKN040,22,17,Q1019,NOSIG,,,,
METAR,RCKU,260500Z,310,04KT,8000,SCT006 BKN012 BKN040,21,17,Q1019,NOSIG,,,,
SPECI,RCKU,260435Z,360,03KT,8000,SCT006 BKN012 BKN040,22,17,Q1020,NOSIG,,,,
METAR,RCKU,260430Z,360,04KT,8000,SCT006 SCT012 BKN040 BKN012,22,17,Q1020,<strong>TEMPO<,strong>,,,
METAR,RCKU,260400Z,020,06KT,8000,SCT008 BKN016 BKN050,21,17,Q1020,NOSIG,,,,
METAR,RCKU,260330Z,350,07KT,8000,SCT006 BKN016 BKN040,21,17,Q1020,NOSIG,,,,
METAR,RCKU,260300Z,340,08KT,7000,SCT008 BKN016 BKN040,20,17,Q1021,NOSIG,,,,
METAR,RCKU,260230Z,340,07KT,8000,SCT008 BKN016 BKN040,20,17,Q1021,NOSIG,,,,
METAR,RCKU,260200Z,350,06KT,6000,SCT010 BKN020 BKN040,20,17,Q1021,NOSIG,,,,
METAR,RCKU,260130Z,360,07KT,5000,BR,SCT010 BKN020 BKN040,19,17,Q1021,NOSIG,,,
METAR,RCKU,260100Z,360,07KT,5000,BR,SCT010 BKN020 BKN040,19,17,Q1021,NOSIG,,,
SPECI,COR,RCKU,260,047Z,35007KT,5000,BR,SCT010 BKN020 BKN040,19,17,Q1021,NOSIG,,
METAR,RCKU,260030Z,350,08KT,4000,BR,SCT010 BKN020 BKN040,18,17,Q1021,<strong>BECMG<,strong>,5000,BR
SPECI,RCKU,260024Z,350,07KT,4000,BR,SCT010 BKN020 BKN040,18,17,Q1021,<strong>BECMG<,strong>,5000,BR
