METAR,RCMQ,070230Z,020,18G28KT,9999,SCT006 BKN012 BKN025 SCT006,18,14,Q1019,NOSIG,A3009,APCH,CLD,,,,,,,,,
METAR,RCMQ,070200Z,010,22G32KT,9999,SCT006 BKN012 SCT006,17,15,Q1018,NOSIG,A3008,APCH,CLD,,,,,,,,,
METAR,RCMQ,070130Z,050,17KT,9999,SCT006 BKN012 SCT006,16,14,Q1019,NOSIG,A3009,APCH,CLD,,,,,,,,,
SPECI,RCMQ,070113Z,010,16KT,9999,SCT006 BKN012 SCT006,16,14,Q1019,NOSIG,A3009,APCH,CLD,,,,,,,,,
METAR,RCMQ,070100Z,010,15KT,9999,SCT004 BKN008 BKN020 SCT004,16,14,Q1019,BECMG,A3009,APCH,CLD,,,,,,,,,
METAR,RCMQ,070030Z,020,16KT,9999,SCT004 BKN008 SCT004,15,14,Q1018,NOSIG,A3009,APCH,CLD,,,,,,,,,
SPECI,RCMQ,070021Z,020,13G23KT,9999,SCT004 BKN008 SCT004,14,13,Q1018,NOSIG,A3009,APCH,CLD,,,,,,,,,
SPECI,RCMQ,070005Z,020,16G26KT,9999,SCT004 BKN010 SCT004,14,13,Q1019,NOSIG,A3009,APCH,CLD,,,,,,,,,
METAR,RCMQ,070000Z,020,16G26KT,9999,SCT004 BKN012 SCT004,14,13,Q1019,NOSIG,A3009,APCH,CLD,,,,,,,,,
METAR,RCMQ,062330Z,020,20KT,9999,SCT006 BKN012 SCT006,13,13,Q1019,NOSIG,A3009,APCH,CLD,,,,,,,,,
METAR,RCMQ,062300Z,020,18KT,8000,SCT006 BKN012 SCT006,13,13,Q1018,NOSIG,A3009,APCH,CLD,,,,,,,,,
METAR,RCMQ,062230Z,020,20KT,6000,SCT006 BKN012,13,13,Q1019,NOSIG,A3009,,,,,,,,,,,
SPECI,RCMQ,062220Z,010,19KT,6000,SCT006 BKN012,14,13,Q1019,NOSIG,A3009,,,,,,,,,,,
METAR,RCMQ,062200Z,010,20KT,4800,BR,SCT006 BKN012,14,13,Q1019,BECMG,5000,BR,A3009,,,,,,,,
SPECI,RCMQ,062135Z,010,19KT,4000,BR,SCT006 BKN012,14,13,Q1019,NOSIG,A3010,,,,,,,,,,
METAR,RCMQ,062130Z,010,19KT,3200,BR,SCT006 BKN012,14,13,Q1019,NOSIG,A3010,,,,,,,,,,
SPECI,RCMQ,062105Z,010,18KT,3200,BR,SCT006 BKN012 BKN012,14,13,Q1018,BECMG,3200,BR,A3007,,,,,,,,
