METAR,COR,RCMQ,300,230Z,33008KT,8000,FEW006 SCT030 BKN080,20,18,Q1023,NOSIG,
METAR,RCMQ,300200Z,330,05KT,8000,FEW006 SCT030 BKN080,20,18,Q1023,NOSIG,,
METAR,RCMQ,300130Z,320,05KT,320V040,7000,FEW010 SCT030 BKN080,20,18,Q1023,NOSIG,
SPECI,RCMQ,300105Z,040,03KT,6000,FEW010 SCT030 BKN080,18,17,Q1023,NOSIG,,
METAR,RCMQ,300100Z,040,03KT,6000,-RA,FEW010 SCT030 BKN080,18,17,Q1023,NOSIG,
METAR,RCMQ,300030Z,080,05KT,5000,-RA,BR,FEW010 BKN030 BKN060,18,17,Q1022,NOSIG
METAR,RCMQ,300000Z,000,00KT,5000,-RA,BR,FEW010 BKN030 BKN060,17,16,Q1023,NOSIG
METAR,RCMQ,292330Z,000,00KT,5000,-RA,BR,FEW010 SCT030 BKN060,17,16,Q1023,NOSIG
SPECI,RCMQ,292305Z,110,04KT,5000,-RA,BR,FEW010 SCT030 BKN060,17,16,Q1022,NOSIG
METAR,RCMQ,292300Z,090,04KT,6000,-RA,FEW010 SCT030 BKN060,17,16,Q1022,NOSIG,
METAR,RCMQ,292230Z,000,00KT,6000,-RA,FEW010 SCT040 BKN060,17,16,Q1022,NOSIG,
METAR,RCMQ,292200Z,000,00KT,8000,-RA,FEW010 SCT040 BKN060,17,16,Q1022,NOSIG,
METAR,COR,RCMQ,292,130Z,36002KT,8000,-RA,FEW010 SCT040 BKN060,17,15,Q1021,NOSIG
METAR,RCMQ,292100Z,310,04KT,8000,-RA,FEW010 SCT040 BKN060,17,15,Q1021,NOSIG,
SPECI,RCMQ,292035Z,310,03KT,9000,-RA,FEW010 SCT040 BKN060,17,15,Q1021,,
METAR,RCMQ,292030Z,000,00KT,9999,FEW012 SCT040 BKN060,17,14,Q1021,,,
METAR,RCMQ,292000Z,300,04KT,9999,FEW012 BKN080,17,14,Q1021,,,
METAR,RCMQ,291900Z,300,04KT,9999,FEW012 BKN080,17,14,Q1021,,,
METAR,RCMQ,291800Z,000,00KT,9999,FEW012 BKN080,16,14,Q1021,,,
METAR,RCMQ,291700Z,000,00KT,9999,FEW012 BKN080,16,14,Q1021,,,
METAR,RCMQ,291600Z,360,03KT,9999,FEW012 BKN080,16,14,Q1021,,,
METAR,RCMQ,291500Z,340,01KT,9999,FEW012 BKN080,17,14,Q1021,,,
METAR,RCMQ,291400Z,000,00KT,9999,FEW012 BKN080,17,14,Q1021,,,
METAR,RCMQ,291330Z,350,03KT,9999,FEW012 BKN080,17,14,Q1021,NOSIG,,
METAR,RCMQ,291300Z,360,04KT,9999,FEW012 BKN080,17,14,Q1021,NOSIG,,
METAR,RCMQ,291230Z,350,04KT,9999,FEW012 BKN080,17,14,Q1020,NOSIG,,
METAR,RCMQ,291200Z,350,05KT,9999,FEW012 BKN080,17,14,Q1020,NOSIG,,
METAR,RCMQ,291130Z,360,05KT,9999,FEW012 BKN080,17,14,Q1020,NOSIG,,
METAR,RCMQ,291100Z,360,07KT,9999,FEW012 BKN080,18,14,Q1020,NOSIG,,
METAR,RCMQ,291030Z,360,08KT,9999,FEW012 BKN080,18,14,Q1019,NOSIG,,
METAR,RCMQ,291000Z,350,08KT,9999,FEW012 BKN080,18,14,Q1019,NOSIG,,
METAR,RCMQ,290930Z,360,11KT,9999,FEW012 BKN100,19,14,Q1019,NOSIG,,
METAR,RCMQ,290900Z,360,12KT,9999,FEW012 BKN100,19,14,Q1019,NOSIG,,
METAR,RCMQ,290830Z,360,12KT,9999,FEW012 BKN100,19,14,Q1019,NOSIG,,
METAR,RCMQ,290800Z,350,15KT,9999,FEW012 SCT100,19,14,Q1019,NOSIG,,
SPECI,RCMQ,290736Z,350,16KT,9999,FEW012 SCT100,21,14,Q1019,NOSIG,,
METAR,RCMQ,290730Z,350,16KT,9999,FEW012 SCT100,21,14,Q1019,NOSIG,,
METAR,RCMQ,290700Z,350,16KT,9999,FEW012 SCT100,22,15,Q1019,NOSIG,,
METAR,RCMQ,290630Z,350,16KT,9999,FEW012 SCT100,23,15,Q1019,NOSIG,,
METAR,RCMQ,290600Z,350,15KT,9999,FEW012 SCT100,23,15,Q1019,NOSIG,,
METAR,RCMQ,290530Z,350,15KT,9999,FEW012 SCT100,23,14,Q1019,NOSIG,,
METAR,RCMQ,290500Z,340,13KT,9999,FEW012 SCT100,23,14,Q1020,NOSIG,,
METAR,RCMQ,290430Z,340,11KT,9999,FEW012 SCT100,23,14,Q1020,NOSIG,,
METAR,RCMQ,290400Z,360,09KT,9999,FEW012 SCT100,23,13,Q1021,NOSIG,,
METAR,RCMQ,290330Z,350,07KT,9999,FEW012 BKN100,22,14,Q1022,NOSIG,,
METAR,RCMQ,290300Z,360,06KT,9999,FEW012 BKN100,21,14,Q1022,NOSIG,,
METAR,RCMQ,290230Z,340,05KT,9999,FEW012 BKN080,21,15,Q1022,NOSIG,,
