METAR,RCMQ,071600Z,020,14G24KT,9999,FEW008 SCT016 BKN080,12,09,Q1021,A3016,,,,,,,
METAR,RCMQ,071500Z,020,16G26KT,9999,FEW008 SCT016 BKN060,13,10,Q1021,A3017,,,,,,,
METAR,RCMQ,071400Z,010,16G26KT,9999,FEW008 SCT016 BKN060,13,10,Q1021,NOSIG,A3016,,,,,,
METAR,RCMQ,071330Z,010,17G27KT,9999,FEW008 SCT016 BKN060,13,10,Q1021,NOSIG,A3016,,,,,,
SPECI,RCMQ,071310Z,010,16G26KT,9999,FEW008 SCT016 BKN060,13,10,Q1021,NOSIG,A3016,,,,,,
METAR,RCMQ,071300Z,010,16G26KT,9999,FEW008 BKN012 BKN060 BKN060,13,10,Q1021,BECMG,A3016,,,,,,
METAR,RCMQ,071230Z,020,16G26KT,9999,SCT008 BKN012,13,10,Q1020,NOSIG,A3014,,,,,,
METAR,RCMQ,071200Z,010,18G28KT,9999,SCT008 BKN012,13,10,Q1020,NOSIG,A3014,,,,,,
METAR,RCMQ,071130Z,010,14G24KT,9999,SCT008 BKN012,13,10,Q1020,NOSIG,A3013,,,,,,
METAR,RCMQ,071100Z,010,13G23KT,9999,SCT008 BKN012,13,11,Q1020,NOSIG,A3014,,,,,,
METAR,RCMQ,071030Z,010,16G26KT,9999,FEW008 BKN012 BKN025,13,11,Q1019,NOSIG,A3011,,,,,,
METAR,RCMQ,071000Z,010,16G26KT,9999,FEW008 BKN012 BKN025,13,10,Q1019,NOSIG,A3010,,,,,,
METAR,RCMQ,070930Z,020,18G28KT,9999,FEW008 BKN012 BKN025,13,10,Q1019,NOSIG,A3009,,,,,,
METAR,RCMQ,070900Z,020,18G28KT,9999,FEW008 BKN012 BKN025,13,11,Q1018,NOSIG,A3009,,,,,,
METAR,RCMQ,070830Z,020,21G31KT,9999,FEW008 BKN012 BKN025,14,10,Q1018,NOSIG,A3008,,,,,,
METAR,RCMQ,070800Z,020,21G31KT,9999,FEW008 BKN012 BKN025,14,10,Q1018,NOSIG,A3007,,,,,,
METAR,RCMQ,070730Z,020,22G32KT,9999,FEW008 BKN012 BKN025,14,11,Q1018,NOSIG,A3006,,,,,,
METAR,RCMQ,070700Z,020,17G28KT,9999,FEW008 BKN012 BKN025,15,11,Q1018,NOSIG,A3006,,,,,,
METAR,RCMQ,070630Z,020,20G30KT,9999,FEW008 BKN012 BKN025,15,11,Q1018,NOSIG,A3006,,,,,,
METAR,RCMQ,070600Z,010,20G30KT,9999,FEW008 BKN012 BKN025,15,11,Q1018,NOSIG,A3006,,,,,,
METAR,RCMQ,070530Z,010,18G28KT,9999,FEW008 BKN014 BKN025,15,12,Q1018,NOSIG,A3006,,,,,,
METAR,RCMQ,070500Z,010,17G27KT,9999,FEW008 BKN014 BKN025,15,12,Q1018,NOSIG,A3007,,,,,,
METAR,RCMQ,070430Z,010,19G29KT,9999,FEW008 BKN014 BKN025,16,12,Q1018,NOSIG,A3008,,,,,,
METAR,RCMQ,070400Z,010,16G26KT,9999,FEW008 BKN014 BKN025,17,13,Q1019,NOSIG,A3009,,,,,,
METAR,RCMQ,070330Z,010,17G27KT,9999,FEW006 BKN012 BKN025,17,14,Q1019,NOSIG,A3009,,,,,,
METAR,RCMQ,070300Z,010,18G28KT,9999,FEW006 BKN012 BKN025,18,14,Q1019,NOSIG,A3009,,,,,,
METAR,RCMQ,070230Z,020,18G28KT,9999,SCT006 BKN012 BKN025 SCT006,18,14,Q1019,NOSIG,A3009,APCH,CLD,,,,
METAR,RCMQ,070200Z,010,22G32KT,9999,SCT006 BKN012 SCT006,17,15,Q1018,NOSIG,A3008,APCH,CLD,,,,
METAR,RCMQ,070130Z,050,17KT,9999,SCT006 BKN012 SCT006,16,14,Q1019,NOSIG,A3009,APCH,CLD,,,,
SPECI,RCMQ,070113Z,010,16KT,9999,SCT006 BKN012 SCT006,16,14,Q1019,NOSIG,A3009,APCH,CLD,,,,
METAR,RCMQ,070100Z,010,15KT,9999,SCT004 BKN008 BKN020 SCT004,16,14,Q1019,BECMG,A3009,APCH,CLD,,,,
METAR,RCMQ,070030Z,020,16KT,9999,SCT004 BKN008 SCT004,15,14,Q1018,NOSIG,A3009,APCH,CLD,,,,
SPECI,RCMQ,070021Z,020,13G23KT,9999,SCT004 BKN008 SCT004,14,13,Q1018,NOSIG,A3009,APCH,CLD,,,,
SPECI,RCMQ,070005Z,020,16G26KT,9999,SCT004 BKN010 SCT004,14,13,Q1019,NOSIG,A3009,APCH,CLD,,,,
