METAR,RCMQ,160330Z,310,07KT,9999,FEW012 SCT050 BKN080,23,14,Q1020,NOSIG,A3013,,,,,,
METAR,RCMQ,160300Z,330,05KT,9999,FEW012 SCT050 BKN080,24,15,Q1020,NOSIG,A3014,,,,,,
METAR,RCMQ,160230Z,320,04KT,9999,FEW012 SCT080,24,14,Q1021,NOSIG,A3015,,,,,,
METAR,RCMQ,160200Z,010,02KT,9999,FEW012 SCT080,25,15,Q1021,NOSIG,A3015,,,,,,
METAR,RCMQ,160130Z,060,02KT,9999,FEW012 SCT080,23,16,Q1021,NOSIG,A3016,,,,,,
METAR,RCMQ,160100Z,030,03KT,9999,FEW012 SCT080,22,16,Q1021,NOSIG,A3016,,,,,,
METAR,RCMQ,160030Z,010,03KT,9999,FEW010 SCT060,21,16,Q1021,NOSIG,A3016,,,,,,
METAR,RCMQ,160000Z,060,02KT,8000,FEW010 SCT080,19,16,Q1021,NOSIG,A3015,,,,,,
METAR,RCMQ,152330Z,020,03KT,6000,FEW006 SCT080,16,15,Q1020,NOSIG,A3014,,,,,,
SPECI,RCMQ,152305Z,000,00KT,4000,1600SW,BR,SCT001 SCT050,15,14,Q1020,BECMG,5000,BR,A3014,,
METAR,RCMQ,152300Z,000,00KT,2400,BR,SCT001 SCT050,15,14,Q1020,BECMG,3000,BR,A3014,,,
SPECI,RCMQ,152255Z,000,00KT,2400,BR,SCT001 SCT050,15,14,Q1020,BECMG,3000,BR,A3014,,,
SPECI,RCMQ,152247Z,000,00KT,1200,R36,1400U,BR,SCT001 SCT050 BKN002,15,14,Q1020,TL0000,0200,FG,A3014,
METAR,RCMQ,152230Z,000,00KT,0800,R36,0900N,FG,SCT001 BKN010 BKN002,15,14,Q1020,TL0000,0200,FG,A3013,
SPECI,RCMQ,152215Z,000,00KT,0800,R36,0900D,FG,SCT001 BKN010 BKN002,16,15,Q1020,TL0000,0200,FG,A3012,
SPECI,RCMQ,152210Z,000,00KT,1200,R36,1000,BR,SCT001 BKN010 BKN002,16,15,Q1020,BECMG,TL0000,0200,FG,A3012
SPECI,RCMQ,152205Z,000,00KT,2400,1200SW,BR,SCT001 BKN010 BKN002,16,15,Q1020,FM2210,TL0000,0200,FG,A3012,
METAR,RCMQ,152200Z,000,00KT,1200,R36,1000,BR,SCT001 BKN010 BKN002,16,15,Q1020,TL0000,0200,FG,A3012,
SPECI,RCMQ,152155Z,000,00KT,8000,SCT006 BKN010 BKN002,15,14,Q1020,FM2210,TL0000,0200,FG,A3012,,,
METAR,RCMQ,152130Z,000,00KT,9999,FEW012,15,14,Q1019,NOSIG,A3011,,,,,,
METAR,RCMQ,152100Z,360,04KT,9999,FEW012,13,12,Q1019,NOSIG,A3010,,,,,,
METAR,RCMQ,152030Z,000,00KT,9999,FEW012,14,12,Q1019,A3010,,,,,,,
METAR,RCMQ,152000Z,180,04KT,9999,FEW012 SCT040,16,14,Q1020,A3012,,,,,,,
METAR,RCMQ,151900Z,180,04KT,9999,FEW012 SCT040,16,14,Q1020,A3012,,,,,,,
METAR,RCMQ,151800Z,250,04KT,9999,FEW012 SCT040,16,14,Q1021,A3016,,,,,,,
METAR,RCMQ,151700Z,250,04KT,9999,FEW012 SCT040,16,14,Q1021,A3016,,,,,,,
METAR,RCMQ,151600Z,200,02KT,9999,FEW012 SCT040,17,15,Q1021,A3016,,,,,,,
METAR,RCMQ,151500Z,010,04KT,9999,FEW012 SCT040,17,15,Q1021,A3016,,,,,,,
METAR,RCMQ,151400Z,350,05KT,9999,FEW012 SCT040,17,15,Q1022,NOSIG,A3018,,,,,,
METAR,RCMQ,151330Z,010,04KT,9999,FEW012 SCT040,18,16,Q1021,NOSIG,A3017,,,,,,
METAR,RCMQ,151300Z,010,04KT,9999,FEW012 SCT040,18,16,Q1021,NOSIG,A3017,,,,,,
METAR,RCMQ,151230Z,360,04KT,9999,FEW012,17,15,Q1021,NOSIG,A3016,,,,,,
METAR,RCMQ,151200Z,350,05KT,9999,FEW012,17,14,Q1021,NOSIG,A3015,,,,,,
METAR,RCMQ,151130Z,350,05KT,9999,FEW012,17,14,Q1020,NOSIG,A3014,,,,,,
METAR,RCMQ,151100Z,360,05KT,9999,FEW012,17,14,Q1020,NOSIG,A3012,,,,,,
METAR,RCMQ,151030Z,350,05KT,9999,FEW012,18,14,Q1020,NOSIG,A3012,,,,,,
METAR,RCMQ,151000Z,010,07KT,9999,FEW012 SCT040,19,14,Q1019,NOSIG,A3011,,,,,,
METAR,RCMQ,150930Z,020,09KT,9999,FEW012 SCT040,21,14,Q1020,NOSIG,A3012,,,,,,
METAR,RCMQ,150900Z,360,08KT,9999,FEW012 SCT040,21,14,Q1020,NOSIG,A3013,,,,,,
METAR,RCMQ,150830Z,360,07KT,9999,FEW012 SCT040,22,13,Q1020,NOSIG,A3013,,,,,,
METAR,RCMQ,150800Z,350,06KT,9999,FEW012 SCT040,23,14,Q1020,NOSIG,A3013,,,,,,
METAR,RCMQ,150730Z,350,08KT,9999,FEW012 SCT040,24,14,Q1020,NOSIG,A3013,,,,,,
METAR,RCMQ,150700Z,320,10KT,9999,FEW012 SCT040,24,14,Q1020,NOSIG,A3014,,,,,,
METAR,RCMQ,150630Z,330,09KT,9999,FEW012 SCT040,24,14,Q1020,NOSIG,A3014,,,,,,
METAR,RCMQ,150600Z,320,07KT,9999,FEW012 SCT040,24,14,Q1021,NOSIG,A3015,,,,,,
METAR,RCMQ,150530Z,330,08KT,9999,FEW012,25,13,Q1021,NOSIG,A3017,,,,,,
METAR,RCMQ,150500Z,330,09KT,9999,FEW012,24,14,Q1022,NOSIG,A3018,,,,,,
METAR,RCMQ,150430Z,330,09KT,9999,FEW012 SCT040,24,14,Q1022,NOSIG,A3020,,,,,,
METAR,RCMQ,150400Z,320,09KT,9999,FEW012 SCT040,24,14,Q1023,NOSIG,A3021,,,,,,
METAR,RCMQ,150330Z,330,06KT,9999,FEW012 BKN040,23,14,Q1023,NOSIG,A3022,,,,,,
