METAR,RCMQ,120300Z,350,08KT,9999,FEW012 BKN100,23,14,Q1021,NOSIG,A3017,
METAR,RCMQ,120230Z,350,08KT,9999,FEW012 BKN100,22,15,Q1022,NOSIG,A3018,
METAR,RCMQ,120200Z,340,08KT,9999,FEW012 BKN100,20,14,Q1022,NOSIG,A3018,
METAR,RCMQ,120130Z,350,05KT,9999,FEW012 BKN100,20,15,Q1022,NOSIG,A3018,
METAR,RCMQ,120100Z,360,04KT,9999,FEW012 SCT100,19,15,Q1021,NOSIG,A3017,
METAR,RCMQ,120030Z,010,05KT,9999,FEW012,17,14,Q1021,NOSIG,A3017,
METAR,RCMQ,120000Z,010,04KT,9999,FEW012,15,14,Q1021,NOSIG,A3016,
METAR,RCMQ,112330Z,020,05KT,8000,FEW012,13,13,Q1021,NOSIG,A3016,
SPECI,RCMQ,112315Z,020,06KT,6000,FEW012,13,12,Q1021,NOSIG,A3016,
METAR,RCMQ,112300Z,020,06KT,4800,BR,FEW012,13,12,Q1021,NOSIG,A3016
METAR,RCMQ,112230Z,360,06KT,4800,BR,FEW012,12,12,Q1021,NOSIG,A3016
METAR,RCMQ,112200Z,360,06KT,4800,BR,FEW012,12,12,Q1020,NOSIG,A3014
METAR,RCMQ,112130Z,010,05KT,4800,BR,FEW012,13,12,Q1020,NOSIG,A3014
SPECI,RCMQ,112110Z,010,07KT,4800,BR,FEW012,13,12,Q1020,NOSIG,A3012
METAR,RCMQ,112100Z,010,07KT,7000,FEW012,13,12,Q1020,NOSIG,A3012,
METAR,RCMQ,112030Z,010,07KT,9999,FEW012,13,12,Q1020,A3012,,
METAR,RCMQ,112000Z,010,08KT,9999,FEW012,13,12,Q1020,A3012,,
METAR,RCMQ,111900Z,010,07KT,9999,FEW012,13,12,Q1020,A3012,,
METAR,RCMQ,111800Z,010,05KT,9999,FEW012,13,12,Q1020,A3012,,
METAR,RCMQ,111700Z,010,06KT,9999,FEW012 SCT100,14,12,Q1020,A3014,,
METAR,RCMQ,111600Z,020,09KT,9999,FEW012 SCT100,14,13,Q1021,A3015,,
METAR,RCMQ,111500Z,010,12KT,9999,FEW012 SCT100,14,13,Q1021,A3016,,
METAR,RCMQ,111400Z,360,10KT,9999,FEW012 SCT100,14,13,Q1021,A3017,,
METAR,RCMQ,111330Z,010,10KT,9999,FEW012 SCT100,14,13,Q1021,A3017,,
METAR,RCMQ,111300Z,010,11KT,9999,FEW012 SCT100,14,12,Q1021,NOSIG,A3017,
METAR,RCMQ,111230Z,360,10KT,9999,FEW012 SCT100,15,13,Q1021,NOSIG,A3016,
METAR,RCMQ,111200Z,360,10KT,9999,FEW012 SCT100,15,13,Q1021,NOSIG,A3016,
METAR,RCMQ,111130Z,360,10KT,9999,FEW012 SCT100,15,13,Q1021,NOSIG,A3016,
METAR,RCMQ,111100Z,010,08KT,9999,FEW012 SCT100,16,13,Q1020,NOSIG,A3014,
METAR,RCMQ,111030Z,010,11KT,9999,FEW012 SCT100,16,13,Q1020,NOSIG,A3014,
METAR,RCMQ,111000Z,360,11KT,9999,FEW012 SCT100,17,13,Q1021,NOSIG,A3015,
METAR,RCMQ,110930Z,010,09KT,9999,FEW012 SCT100,18,13,Q1020,NOSIG,A3014,
METAR,RCMQ,110900Z,010,13KT,9999,FEW012,19,14,Q1020,NOSIG,A3014,
METAR,RCMQ,110830Z,010,15KT,9999,FEW012,20,14,Q1020,NOSIG,A3014,
METAR,RCMQ,110800Z,360,17KT,9999,FEW012,21,14,Q1020,NOSIG,A3013,
METAR,RCMQ,110730Z,350,16KT,9999,FEW012,21,14,Q1020,NOSIG,A3013,
METAR,RCMQ,110700Z,360,15KT,9999,FEW012,22,14,Q1020,NOSIG,A3013,
METAR,RCMQ,110630Z,360,17KT,9999,FEW012,22,15,Q1020,NOSIG,A3013,
METAR,RCMQ,110600Z,350,17KT,9999,FEW012,22,15,Q1020,NOSIG,A3013,
METAR,RCMQ,110530Z,350,14KT,9999,FEW012,23,15,Q1020,NOSIG,A3014,
METAR,RCMQ,110500Z,350,12KT,9999,FEW012,23,15,Q1021,NOSIG,A3016,
METAR,RCMQ,110430Z,350,14KT,9999,FEW012,23,15,Q1022,NOSIG,A3018,
METAR,RCMQ,110400Z,350,12KT,9999,FEW012,23,15,Q1022,NOSIG,A3019,
METAR,RCMQ,110330Z,350,11KT,9999,FEW012,23,15,Q1022,NOSIG,A3019,
METAR,RCMQ,110300Z,360,09KT,9999,FEW012,23,13,Q1022,NOSIG,A3020,
